SITE NAME,DISTRICT,DESCRIPTION,ADDRESS,ENTRY FEE,LOCATION TYPE,TIMINGS
Gangaikonda Cholapuram,Ariyalur,"A magnificent Chola-era temple dedicated to Lord Shiva, built by Rajendra I in the 11th century. It features a towering vimana and intricate sculptures.","Gangaikonda Cholapuram, Jayankondam Taluk, Ariyalur District, Tamil Nadu, India",Free,Temple,"6:00 AM - 12:00 PM, 4:00 PM - 8:30 PM"
Mahabalipuram Group of Monuments,Chengalpattu,"A UNESCO World Heritage Site featuring a collection of 7th and 8th-century religious monuments, including the Shore Temple, Pancha Rathas, and Arjuna's Penance.","Mahabalipuram, Chengalpattu District, Tamil Nadu, India","Indian Citizens: ₹40, Foreigners: ₹600","Coastal, Monument Complex",6:00 AM - 6:00 PM
Pancha Rathas,Chengalpattu,"A set of five monolithic rock-cut temples, each carved out of a single granite block. They are named after the Pandava brothers and their wife, Draupadi.","Near the Shore Temple, Mahabalipuram, Chengalpattu District, Tamil Nadu, India",Included in the Mahabalipuram Group of Monuments ticket,"Coastal, Monument Complex",6:00 AM - 6:00 PM
Arjuna’s Penance,Chengalpattu,A gigantic open-air rock relief carved on two huge boulders. It depicts scenes from the Mahabharata and the descent of the Ganges.,"Near Krishna's Butterball, Mahabalipuram, Chengalpattu District, Tamil Nadu, India",Included in the Mahabalipuram Group of Monuments ticket,"Coastal, Monument Complex",6:00 AM - 6:00 PM
Krishna’s Butterball,Chengalpattu,A massive balancing rock that sits on a slippery slope without moving. A popular spot for tourists to take photos.,"Near Arjuna's Penance, Mahabalipuram, Chengalpattu District, Tamil Nadu, India",Free,"Coastal, Natural Formation",6:00 AM - 6:00 PM
Tiger Cave,Chengalpattu,A small rock-cut shrine with a mandapa decorated with carvings of tiger heads. Located on the outskirts of Mahabalipuram.,"Saluvankuppam, Mahabalipuram, Chengalpattu District, Tamil Nadu, India",Free,"Coastal, Cave Temple",6:00 AM - 6:00 PM
Fort St. George,Chennai,"The first English fortress in India, founded in 1644. It houses the St. Mary's Church and the Fort Museum.","Rajaji Salai, Chennai, Tamil Nadu, India","Fort Museum: Indian Citizens: ₹15, Foreigners: ₹200","Urban, Fort/Museum",9:00 AM - 5:00 PM (Closed on Friday)
San Thome Basilica,Chennai,A beautiful Roman Catholic minor basilica built over the tomb of St. Thomas the Apostle. The current structure was built in 1893.,"38, Santhome High Rd, Chennai, Tamil Nadu, India",Free,"Urban, Church/Basilica",6:00 AM - 9:00 PM
Noyyal bank heritage ghats,Coimbatore,"A series of ancient riverbank steps (ghats) and temples along the Noyyal River, representing the city's historical connection to the river.","Various locations along the Noyyal River, Coimbatore, Tamil Nadu, India",Free,"Riverbank, Heritage Site",Open 24/7
Fort St. David,Cuddalore,"A British fort built in 1690. Only the ruins and a few walls remain, but it offers a glimpse into the region's colonial history.","Fort St. David, Devanampattinam, Cuddalore, Tamil Nadu, India",Free,"Coastal, Fort",6:00 AM - 6:00 PM
Pichavaram mangrove settlement heritage,Cuddalore,A vast mangrove forest and a popular tourist spot for boat rides. It's a unique natural heritage site.,"Pichavaram, Near Chidambaram, Cuddalore District, Tamil Nadu, India","Boat Ride: Varies based on boat type, approximately ₹150 - ₹2000","Natural, Mangrove Forest",8:00 AM - 5:00 PM
Hogenakkal (historic bathing site),Dharmapuri,"A series of waterfalls on the Kaveri River. The name ""Hogenakkal"" means ""smoky rocks"" in Kannada, and it's a popular site for bathing and boat rides.","Hogenakkal, Dharmapuri District, Tamil Nadu, India","Free, Coracle ride fees vary","Natural, Waterfall",6:00 AM - 6:00 PM
Adiyamankottai Fort,Dharmapuri,"A ruined fort believed to have been built by the Adiyamans, a line of ancient Tamil kings.","Adiyamankottai, Dharmapuri, Tamil Nadu, India",Free,"Fort, Ruin",Open 24/7
Subramanya Siva Memorial,Dharmapuri,"A memorial dedicated to Subramanya Siva, an Indian freedom fighter.","Papparapatti, Dharmapuri, Tamil Nadu, India",Free,Memorial,9:00 AM - 6:00 PM
Dindigul Rock Fort,Dindigul,"A hill fort with a Shiva temple, built by the Madurai Nayaks in the 16th century. It offers panoramic views of the city.","Dindigul Rock Fort, Dindigul, Tamil Nadu, India",Free,"Fort, Hill",9:00 AM - 5:30 PM
Kodaikanal Lake & colonial promenade,Dindigul,A man-made lake with a promenade. The area is known for its colonial-era bungalows and heritage buildings.,"Kodaikanal Lake, Kodaikanal, Dindigul District, Tamil Nadu, India",Free,"Hill Station, Lake","Open 24/7, Boating fees vary"
Kodiveri Anicut,Erode,A 17th-century masonry dam built across the Bhavani River. A popular picnic spot.,"Kodiveri, Near Gobichettipalayam, Erode District, Tamil Nadu, India",Free,"Dam, Heritage Site",9:00 AM - 6:00 PM
Elathur Lake,Erode,A scenic lake known for its biodiversity and bird watching.,"Elathur, Near Bhavani, Erode District, Tamil Nadu, India",Free,"Natural, Lake",Open 24/7
Kalvarayan Hills tribal heritage hamlets,Kallakurichi,The Kalvarayan Hills are home to several indigenous tribal communities. The area is known for its natural beauty and unique culture.,"Various hamlets in Kalvarayan Hills, Kallakurichi District, Tamil Nadu, India",Free,"Hill, Tribal Area",Open 24/7
Thirunarungondai Jain cave/rock-cut site,Kallakurichi,An ancient Jain cave and rock-cut site featuring carvings and inscriptions.,"Thirunarungondai, Ulundurpet Taluk, Kallakurichi District, Tamil Nadu, India",Free,"Cave, Jain Site",9:00 AM - 5:00 PM
Gomukhi Dam precinct (old works),Kallakurichi,An old dam site with historical works and a scenic picnic spot.,"Gomukhi Dam, Sankarapuram Taluk, Kallakurichi District, Tamil Nadu, India",Free,"Dam, Heritage Site",9:00 AM - 6:00 PM
Uthiramerur ancient sabha inscriptions,Kanchipuram,A 10th-century temple with inscriptions that provide details on the Chola-era system of local self-governance.,"Uthiramerur, Kanchipuram District, Tamil Nadu, India",Free,"Temple, Heritage Site","6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM"
Vivekananda Rock Memorial,Kanniyakumari,A popular monument built on a rock where Swami Vivekananda is believed to have attained enlightenment.,"Off the coast of Kanniyakumari, Tamil Nadu, India","Ferry Ticket: ₹50, Memorial Entry: ₹20","Coastal, Memorial",8:00 AM - 4:00 PM
Thiruvalluvar Statue precinct,Kanniyakumari,"A 133-foot-tall statue of the Tamil poet and philosopher, Thiruvalluvar, located on a small island near the Vivekananda Rock Memorial.","Off the coast of Kanniyakumari, Tamil Nadu, India",Ferry Ticket: Included with Vivekananda Rock Memorial ticket,"Coastal, Monument",8:00 AM - 4:00 PM
Padmanabhapuram Palace,Kanniyakumari,"A beautiful wooden palace of the Travancore kings, known for its intricate carvings and architecture.","Padmanabhapuram, Thuckalay, Kanniyakumari District, Tamil Nadu, India","Indian Citizens: ₹35, Foreigners: ₹200","Palace, Heritage Site",9:00 AM - 5:00 PM (Closed on Monday)
Vattakottai Fort,Kanniyakumari,"A circular fort made of granite, built by the Travancore kings in the 18th century. It offers stunning views of the sea.","Vattakottai, Agastheeswaram Taluk, Kanniyakumari District, Tamil Nadu, India",Free,"Coastal, Fort",8:30 AM - 5:30 PM
Mayanur old anicut works,Karur,An ancient dam and water management system across the Kaveri River.,"Mayanur, Kulithalai Taluk, Karur District, Tamil Nadu, India",Free,"Dam, Heritage Site",Open 24/7
Krishnagiri Fort,Krishnagiri,"A hill fort with ruins of palaces and temples, offering panoramic views of the surrounding area.","Krishnagiri Fort, Krishnagiri, Tamil Nadu, India",Free,"Fort, Hill",8:00 AM - 5:00 PM
Mallachandram megaliths/stone circles,Krishnagiri,"A site with megalithic stone circles and dolmens, providing a glimpse into the prehistoric period.","Mallachandram, Uthangarai Taluk, Krishnagiri District, Tamil Nadu, India",Free,Megalithic Site,Open 24/7
Rayakottai Fort,Krishnagiri,A hill fort with ruins of ancient structures and a temple.,"Rayakottai, Denkanikottai Taluk, Krishnagiri District, Tamil Nadu, India",Free,"Fort, Hill",8:00 AM - 5:00 PM
Sri Parshwa Padmavathi Jain sites,Krishnagiri,A complex of Jain temples and sites.,"Sri Parshwa Padmavathi, Shanthi Nagar, Krishnagiri, Tamil Nadu, India",Free,Jain Site,Varies based on temple timings
Thirumalai Nayak Palace,Madurai,A grand palace built in 1636 by King Thirumalai Nayak of the Madurai Nayak dynasty. It is a classic example of Indo-Saracenic architecture.,"Near Meenakshi Amman Temple, Madurai, Tamil Nadu, India","Indian Citizens: ₹10, Foreigners: ₹50","Palace, Museum",9:00 AM - 5:00 PM
Tamukkam Palace,Madurai,"A palace built by Thirumalai Nayak, now converted into the Gandhi Museum.","Tamukkam Palace, Alagarkoil Road, Madurai, Tamil Nadu, India",Free,"Palace, Museum","10:00 AM - 1:00 PM, 2:00 PM - 5:45 PM (Closed on Friday)"
Tharangambadi Danish Fort,Mayiladuthurai,A 17th-century Danish fort also known as Fort Dansborg. It now houses a museum.,"Fort Dansborg, Tharangambadi, Mayiladuthurai District, Tamil Nadu, India","Indian Citizens: ₹10, Foreigners: ₹100","Coastal, Fort/Museum",10:00 AM - 5:00 PM (Closed on Friday)
Poombuhar shoreline heritage,Mayiladuthurai,"The ancient port city of Poompuhar, mentioned in Sangam literature. A museum and heritage park are on the site.","Melaiyur, Near Sirkali, Mayiladuthurai District, Tamil Nadu, India",Free,"Coastal, Archaeological Site",8:30 AM - 6:00 PM
Basilica of Our Lady of Good Health (Velankanni),Nagapattinam,A prominent Roman Catholic basilica and Marian pilgrimage center.,"Velankanni, Nagapattinam District, Tamil Nadu, India",Free,Church/Basilica,24/7
Nagore Dargah,Nagapattinam,A prominent Sufi shrine dedicated to Saint Hazrath Syed Shahul Hameed.,"Nagore, Nagapattinam District, Tamil Nadu, India",Free,Dargah/Shrine,24/7
Namakkal Fort,Namakkal,A historic hill fort. The fort is built on a massive rock and has a temple on top.,"Namakkal Fort, Namakkal, Tamil Nadu, India",Free,"Fort, Hill",9:00 AM - 6:00 PM
Anjaneyar Temple,Namakkal,"A temple dedicated to Lord Hanuman, featuring a massive, 18-foot-tall idol.","Anjaneyar Temple, Namakkal, Tamil Nadu, India",Free,Temple,"6:30 AM - 1:30 PM, 4:30 PM - 9:00 PM"
Kolli Hills temples & stone-age sites,Namakkal,A series of temples and prehistoric sites located in the Kolli Hills.,"Kolli Hills, Namakkal District, Tamil Nadu, India",Free,"Hill Station, Temple, Prehistoric Site",Open 24/7
Jedarpalayam Anicut precinct,Namakkal,"A dam across the Cauvery River, offering scenic views and a picnic spot.","Jedarpalayam, Namakkal District, Tamil Nadu, India",Free,"Dam, Heritage Site",9:00 AM - 6:00 PM
Nilgiri Mountain Railway,Niligirs,"A UNESCO World Heritage Site, this narrow-gauge railway runs from Mettupalayam to Ooty, offering a scenic journey through the hills.","Mettupalayam to Ooty, Nilgiris District, Tamil Nadu, India",Varies based on class and distance,"Hill Station, Railway",Varies based on train schedule
Stone House,Niligirs,"The first bungalow built in Ooty, now the official residence of the Principal of the Government Arts College.","Stone House, Ooty, Nilgiris District, Tamil Nadu, India",Not open to the public,"Hill Station, Heritage Building",N/A
St. Stephen’s Church,Niligirs,"One of the oldest churches in the Nilgiris, known for its colonial architecture and beautiful stained glass windows.","St. Stephen's Church, Ooty, Nilgiris District, Tamil Nadu, India",Free,"Hill Station, Church","9:00 AM - 1:00 PM, 3:00 PM - 6:00 PM"
Toda hamlets & munds,Niligirs,The traditional settlements and unique barrel-shaped huts of the indigenous Toda people.,"Various locations in Nilgiris District, Tamil Nadu, India",Free (Respect local customs),"Hill Station, Tribal Area",Open 24/7
Government Botanical Garden heritage layout,Niligirs,"A large public garden in Ooty, known for its well-maintained lawns and diverse plant species.","Ooty, Nilgiris District, Tamil Nadu, India","Indian Citizens: ₹30, Foreigners: ₹50","Hill Station, Park",7:00 AM - 6:30 PM
Ranjankudi Fort,Perambalur,A 17th-century fort built by the Nayaks. It's a well-preserved example of a hill fort.,"Ranjankudi, Perambalur District, Tamil Nadu, India",Free,"Fort, Hill",8:00 AM - 5:00 PM
National Fossil Wood Park,Perambalur,"A park with fossilized tree trunks, estimated to be over 120 million years old.","Sathanur, Perambalur District, Tamil Nadu, India","Indian Citizens: ₹25, Foreigners: ₹100","Park, Geological Site",9:30 AM - 6:00 PM
Sittanavasal Cave,Puthukkottai,A 7th-century rock-cut Jain cave temple known for its beautiful frescoes.,"Sittanavasal, Pudukkottai District, Tamil Nadu, India","Indian Citizens: ₹15, Foreigners: ₹200","Cave, Jain Site",9:00 AM - 5:00 PM (Closed on Friday)
Thirumayam Fort,Puthukkottai,"A large hill fort with two rock-cut temples, one for Shiva and one for Vishnu.","Thirumayam, Pudukkottai District, Tamil Nadu, India",Free,"Fort, Hill",9:00 AM - 5:00 PM
Pamban Bridge,Ramanathapuram,"India's first sea bridge, connecting mainland India with Rameswaram Island.","Pamban, Ramanathapuram District, Tamil Nadu, India",Free,"Bridge, Coastal",24/7
Kilakarai old mosques,Ramanathapuram,"Several old mosques, including the oldest mosque in India, the Palaya Jumma Palli.","Kilakarai, Ramanathapuram District, Tamil Nadu, India",Free,"Urban, Mosque",Varies based on prayer times
Arcot Delhi Gate & Nawabi heritage,Ranipet,"The historical remnants of the Nawabi rule, including the Delhi Gate and other structures.","Arcot, Ranipet District, Tamil Nadu, India",Free,"Urban, Gate, Heritage Site",8:00 AM - 6:00 PM
Walajahpet Clock Tower & mosque,Ranipet,A historic clock tower and mosque from the Nawabi era.,"Walajahpet, Ranipet District, Tamil Nadu, India",Free,"Urban, Heritage Site",Open 24/7
Muktambal chatram precincts,Ranipet,A historic rest house built by the Marathas.,"Muktamba Chatram, Walajahpet, Ranipet District, Tamil Nadu, India",Free,Heritage Site,Open 24/7
Kaveripakkam lake bund works,Ranipet,"An ancient lake and dam system, a testament to historical water management.","Kaveripakkam, Ranipet District, Tamil Nadu, India",Free,"Lake, Heritage Site",Open 24/7
Sankagiri Fort,Salem,"A hill fort with a temple and several other structures, a site of historical importance during the British rule.","Sankagiri, Salem District, Tamil Nadu, India",Free,"Fort, Hill",8:00 AM - 6:00 PM
Chettinad mansions,Sivaganga,"A collection of grand mansions built by the wealthy Chettiar community, known for their unique architecture and intricate carvings.","Various villages in Chettinad, Sivaganga District, Tamil Nadu, India","Varies, some may have a small entry fee or be privately owned","Rural, Mansion",Varies
Chettinad Palace,Sivaganga,"A notable example of a Chettinad mansion, showcasing the grandeur of the architecture.","Kanadukathan, Sivaganga District, Tamil Nadu, India",Not open to the public,"Rural, Palace",N/A
Courtallam temple tank precincts,Tenkasi,"A series of waterfalls and temple tanks, known for their medicinal properties.","Courtallam, Tenkasi District, Tamil Nadu, India",Free,"Natural, Waterfall, Temple Site",Open 24/7
Pottalpudur Dargah,Tenkasi,A prominent Sufi shrine.,"Pottalpudur, Tenkasi District, Tamil Nadu, India",Free,Dargah/Shrine,24/7
Thanjavur Maratha Palace & Art Gallery,Thanjavur,"A palace complex that includes the Saraswathi Mahal Library, an art gallery, and a museum.","Thanjavur Maratha Palace, Thanjavur, Tamil Nadu, India","Art Gallery: Indian Citizens: ₹50, Foreigners: ₹100","Palace, Museum","9:00 AM - 1:00 PM, 2:00 PM - 5:00 PM"
